id,question,text
1570446247,Quang Hải giành được chức vô địch U21 quốc gia năm bao nhiêu tuổi,"Năm 2013 , Nguyễn Quang Hải giành chức vô địch U21 quốc gia 2013 cùng với đội trẻ Hà Nội T&T và tạo nên cú sốc khi trở thành cầu thủ 16 tuổi đầu tiên giành được danh hiệu vô địch U21 quốc gia ."
1570445661,Mỗi hiệp bóng đá kéo dài bao lâu,"Một trận đấu bóng đá thông thường có hai hiệp , mỗi hiệp 45 phút với khoảng thời gian 15 phút nghỉ giữa hai hiệp ."
1570382095,Quân đội Hoa Kỳ gồm những lực lượng nào,"Quân đội Hoa Kỳ hay Các lực lượng vũ trang Hoa Kỳ là tổng hợp các lực lượng quân sự thống nhất của Hoa Kỳ . Các lực lượng này gồm có Lục quân , Hải quân , Thuỷ quân lục chiến , Không quân và Tuần duyên ."
1570382072,Ngọc Lan là ai,"Ngọc Lan ( 28 tháng 12 năm 1956 - 6 tháng 3 2001 ) là một ca sĩ hải ngoại nổi tiếng . Không chỉ với giọng hát , cô còn được khán giả đặc biệt yêu mến vì khuôn mặt khả ái và tính cách nhút nhát , khiêm tốn của mình ."
1570382037,Thu Phương từng được những giải thưởng nào,Cô được coi là một trong những ca sĩ thuộc thế hệ thứ hai của nền nhạc nhẹ Việt Nam đạt được nhiều giải thưởng nhất .
1570382012,Tên chính thức của Na Uy là gì,"Na Uy ( Bokmål : "" Norge "" ; Nynorsk : "" Noreg "" ) , tên chính thức là Vương quốc Na Uy ( Bokmål : "" Kongeriket Norge "" ; Nynorsk : "" Kongeriket Noreg "" ) , là một quốc gia theo thể chế quân chủ lập hiến tại Bắc Âu chiếm phần phía tây Bán đảo Scandinavie . Nước này giáp biên giới với Thuỵ Điển , Phần Lan , và Nga . Khoảng cách từ các phần phía bắc và phía nam Na Uy lớn hơn rất nhiều so với khoảng cách từ đông sang tây ."
1570381965,Xuân Quỳnh sinh năm bao nhiêu,"Bà tên thật là Nguyễn Thị Xuân Quỳnh , sinh ngày 6 tháng 10 năm 1942 tại làng La Khê , xã Văn Khê , thị xã Hà Đông , tỉnh Hà Tây ( nay là quận Hà Đông , Hà Nội ) . Xuất thân trong một gia đình công chức , mẹ mất sớm , bố thường xuyên công tác xa gia đình , bà được bà nội nuôi dạy từ nhỏ đến khi trưởng thành ."
1570381939,Đế quốc Mông Cổ tồn tại khoảng thời gian nào,"Đế quốc Mông Cổ (tiếng Mông Cổ: Монголын эзэнт гүрэн, chuyển tự Mongol-yn Ezent Güren IPA: [mɔŋɡ(ɔ)ɮˈiːŋ ɛt͡sˈɛnt ˈɡurəŋ] (nghe)) là đế quốc du mục lớn nhất trong lịch sử, từng tồn tại trong các thế kỷ 13 và 14.[2] Khởi đầu trên vùng thảo nguyên Trung Á, đế quốc cuối cùng đã trải dài từ Đông Âu đến biển Nhật Bản, bao gồm nhiều phần rộng lớn của Siberi ở phía bắc và mở rộng về phía nam đến Đông Nam Á, tiểu lục địa Ấn Độ, cao nguyên Iran, và Trung Đông. Ở thời điểm đỉnh cao, đế quốc Mông Cổ trải dài 9.700 km (6.000 mi), diện tích lãnh thổ lên tới 24.000.000 km2 (9.300.000 sq mi),[3][4][5][6] và thống trị 100 triệu dân."
1570381875,Kim loại là gì,"Trong hoá học , kim loại ( tiếng Hy Lạp là "" metallon "" ) là nguyên tố có thể tạo ra các ion dương ( cation ) và có các liên kết kim loại , và đôi khi người ta cho rằng nó tương tự như là cation trong đám mây các điện tử ."
1570381850,Bangladesh nằm ở khu vực nào,"Bangladesh ( , ,   "" Đất nước Bengal "" , phiên âm tiếng Việt : Băng-la-đét ) , tên chính thức : Cộng hoà Nhân dân Bangladesh ( tiếng Bengal : গণপ্রজাতন্ত্রী বাংলাদেশ ) , là một quốc gia ở vùng Nam Á. Địa giới Bangladesh giáp Ấn Độ ở phía tây , bắc , và đông nên gần như bị bao vây trừ một đoạn biên giới giáp với Myanma ở phía cực đông nam và Vịnh Bengal ở phía nam ."
1570381800,Ibrahimović  bắt đầu sự nghiệp bóng đá tại đâu,Ibrahimović bắt đầu sự nghiệp cầu thủ bóng đá tại CLB Malmö FF cuối những năm 1990 trước khi được Ajax - nơi đầu tiên làm nên tên tuổi của anh - ký hợp đồng . Anh sau đó đầu quân cho Juventus FC và cùng với David Trezeguet tạo nên một cặp tiền đạo khét tiếng .
1570381770,Nguồn gốc của thế vận hội Olympic,"Hy Lạp cũng là nơi ra đời Thế vận hội ( Olympic ) đầu tiên vào năm 776 trước Công nguyên và được tổ chức 4 năm một lần , khởi nguồn của Thế vận hội Olympic hiện đại ngày nay ."
1570381734,Bangladesh có diện tích đứng thứ mấy thế giới,"Dân số Bangladesh xếp hạng thứ bảy trên thế giới, nhưng với diện tích chỉ gần 144.000 km2 nó đứng hàng thứ 94, biến nước này trở thành một trong những nước có mật độ dân số cao nhất thế giới."
